Vendor,VendorNo,SingleAmt,AggregateAmt,Division,QuestionnaireDate,STATUS,TradeDescription,RequestFirstDate,RequestSecondDate,RequestThirdDate,Chk_ProjHistory,Chk_Financials,Chk_BackLog,Chk_SalesHistory,Chk_BondHistory,Chk_ProjectList,Chk_KeyOfficer,Chk_OSHA_Log,Chk_Questionnaire,ZeroHarmQ,VendorEmail,VendorAddr,VendorCity,VendorState,VendorZip,ExpirationDate,CurrBal,MinorityStatus,Folder,VendorTaxID,vendorrank,QR,SR,HR,CR,QnLink,QProjects,PrjCnt,CmpltCnt,WatchList,WatchListPeople,RecID,PLookupVID,TypicalJobSize
C.E. Garbutt Construction Company,NULL,2500000,4000000,Georgia,NULL,Finaled,Div 01 - General Requirements,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"122 Canal St, Suite 104",Pooler,GA,31322,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39357,NULL,0
NA,NULL,1500000,2500000,Carolinas,NULL,Expired,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39263,NULL,0
Owens Roofing Inc.,NULL,1500000,2500000,Carolinas,NULL,Expired,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39264,NULL,0
Delta Fountains,NULL,1000000,1500000,NULL,09282023,Expired,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,DELTAFOUNT_59-3238557\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39150,NULL,0
"Perfect Glassworks, LLC",NULL,500000,500000,"Washington, D.C.",NULL,Finaled,Div 08 - Doors and Windows,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"7901 Beechcraft Ave, Suite T",Gaithersburg,MD,20879,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39386,NULL,0
"Recreational Design & Construction, Inc.",NULL,2500000,4000000,Florida,10052023,Expired,Div 13 - Special Construction,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,joe@rdcdesignbuild.com,3990 North Powerline Road,Fort Lauderdale,FL,33309,04/30/2024,0,,RECREATION_65-0439173\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39167,NULL,0
"LIF Industries, LLC",NULL,4000000,6000000,All Other Locations,NULL,Expired,Div 08 - Doors and Windows,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,5 Harbor Park Drive,Port Washington,NY,11050,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39256,NULL,0
"Burgess Civil, LLC",NULL,3000000,4500000,Florida,NULL,Expired,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39202,NULL,0
"Coastal Steel Group, Inc.",NULL,500000,500000,NULL,09272023,Expired,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,COASTALSTE_82-2689474\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39169,NULL,0
"Mid-South Interiors & Exteriors, Inc.",NULL,750000,1500000,Georgia,NULL,Expired,Div 07 - Thermal and Moisture Protection,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,01/31/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39140,NULL,0
Total Hardware,NULL,750000,1000000,"Washington, D.C.",NULL,Expired,Div 08 - Doors and Windows,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39172,NULL,0
Adena Lakeland,NULL,6000000,8000000,All Other Locations,NULL,Expired,Div 05 - Metals,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39219,NULL,0
Comfort Control Inc.,NULL,0,0,"Washington, D.C.",NULL,Negotiating,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"2228 Page Road, , Suite 101",Durham,NC,27703,NULL,0,,COMFORTCON_52-0854290\2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39235,NULL,0
"Boyd Sign Systems, LLC",NULL,500000,500000,All Other Locations,NULL,Finaled,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,3901 Southe Kalamath St,Englewood,CO,80110,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39238,NULL,0
JC Electric Inc.,NULL,1500000,2500000,Carolinas,NULL,Expired,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"3430 Coates Industrial Blvd, Suite 100",Durham,NC,27705,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39244,NULL,0
Verity Construction Company,NULL,500000,500000,Florida,NULL,Finaled,Div 07 - Thermal and Moisture Protection,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"2290 Lucien Way, Suite 100",Maitland,FL,32751,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39265,NULL,0
"Sterling Enterprises, L.L.C.",NULL,1000000,1750000,Florida,NULL,Expired,Div 06 - Carpentry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,PO Box 714,Lake Helen,FL,32744,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39258,NULL,0
J S Wagner Co. Inc. dba Wagner Roofing Company,NULL,3000000,4000000,"Washington, D.C.",NULL,Finaled,Div 07 - Thermal and Moisture Protection,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,5328 46th Ave,Hyattsville,MD,20781,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39372,NULL,0
"Soil and Land Use Technology, Inc.",NULL,1000000,2000000,"Washington, D.C.",NULL,Expired,Div 31 - Earthwork,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39188,NULL,0
ARCADIS US,NULL,4000000,6000000,"Washington, D.C.",NULL,Expired,Div 13 - Special Construction,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"1200 Riverplace Blvd, Suite 425",Jacksonville,FL,32207,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39269,NULL,0
"Stella May Contracting, Inc.",NULL,4000000,6000000,"Washington, D.C.",NULL,Expired,Div 31 - Earthwork,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39175,NULL,0
Showalter Construction LLC,NULL,2000000,3500000,NULL,09112023,Expired,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,SHOWALTERC_92-0239625\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39151,NULL,0
"Prairie Engineers, P.C.",NULL,0,0,All Other Locations,NULL,Approval Required,Div 15 - Mechanical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,95 Business Park Drive,Vicksburg,MS,39180,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39267,NULL,0
"Loveless Commercial Contracting, Inc.",NULL,2000000,3500000,Carolinas,NULL,Finaled,Div 03 - Concrete,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,1821 State St,Cayce,SC,29033,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39369,NULL,0
"SiteCrafters of Florida, Inc.",NULL,2000000,3500000,Florida,NULL,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39209,NULL,0
"GEI Consultants, Inc., P.C.",NULL,4000000,6000000,All Other Locations,NULL,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39213,NULL,0
Blueline Mechanical LLC,NULL,2000000,3500000,Florida,NULL,Expired,Div 23 - HVAC,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39184,NULL,0
"Jill Sorenson Enterprises, LLC",NULL,0,0,"Washington, D.C.",NULL,Approval Required,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39212,NULL,0
"CHE Mid Atlantic, Inc.",NULL,1000000,1500000,"Washington, D.C.",NULL,Expired,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39208,NULL,0
Cisco Site Services LLC,NULL,350000,350000,Carolinas,NULL,Finaled,Div 32 - Sitework,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"3477 Myer Lee Drive, Suite 3",Winston Salem,NC,27101,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39270,NULL,0
Paul J. Rach,NULL,2500000,2500000,"Washington, D.C.",NULL,Expired,Div 03 - Concrete,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,1115 Middle River Rd,Baltimore,MD,21220,04/30/2024,0,,PAULJRACH_52-0737768\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39207,NULL,0
Washington Overhead Door Inc.,NULL,650000,1000000,"Washington, D.C.",NULL,Finaled,Div 11 - Equipment,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,151 Schooner Ln,Prince Frederick,MD,20678,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39368,NULL,0
Hospitality Services Murrells Intel SC,NULL,0,0,Carolinas,NULL,Negotiating,Div 22 - Plumbing,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,NULL,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39177,NULL,0
"Stevenson Sand, Inc.",NULL,500000,500000,Carolinas,NULL,Expired,Div 31 - Earthwork,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39183,NULL,0
"Baxter Johnson Contracting, Inc.",NULL,3000000,4500000,Carolinas,NULL,Expired,Div 03 - Concrete,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39185,NULL,0
"James River Interiors, Inc.",NULL,750000,1000000,"Washington, D.C.",NULL,Expired,Div 06 - Carpentry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,12/31/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39211,NULL,0
Parsons & Associates Inc,NULL,500000,500000,Florida,NULL,Expired,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39176,NULL,0
"Target Contractors, LLC",NULL,1000000,1500000,Carolinas,NULL,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39216,NULL,0
"Lancaster County Timber Frames, Inc.",NULL,500000,500000,All Other Locations,NULL,Expired,Div 06 - Carpentry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39178,NULL,0
"Carolina Parks & Play, LLC",NULL,0,0,NULL,10182023,Negotiating,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,NULL,0,,CAROLINAPA_27-2467672\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39180,NULL,0
Southeastern System Technologies,NULL,500000,750000,Georgia,NULL,Expired,Div 21 - Fire Suppression,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,01/31/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39187,NULL,0
TruTek Framing Systems LLC,NULL,500000,500000,Carolinas,NULL,Finaled,Div 05 - Metals,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,4001 Hwy 153,Greenville,SC,29611,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39417,NULL,0
"Bucks Electric, Inc.",NULL,2000000,2000000,Georgia,NULL,Finaled,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,103 Cable Industrial Way,Carrollton,GA,30117,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39390,NULL,0
SIGNAL TECHNOLOGY AND INSTALLATION CORP,NULL,1500000,2500000,Florida,NULL,Finaled,Div 13 - Special Construction,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,3500 PARK CENTRAL BLVD N,Pompano Beach,FL,33064,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39416,NULL,0
Concrete Matters Inc,NULL,750000,1250000,NULL,NULL,Expired,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,280 Mooresville Blvd,Moorseville,NC,28115,04/30/2024,0,,CONCRETEMA_47-3713783\2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39224,NULL,0
Artifex Construction Corporation,NULL,1000000,2000000,Florida,NULL,Finaled,Div 03 - Concrete,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39374,NULL,0
"RPG Surface Prep, LLC",NULL,600000,600000,"Washington, D.C.",NULL,Finaled,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"152 Blades Lane, Suite M",Glen Burnie,MD,21060,04/30/2025,0,,RPGSURFACE_27-4706610\2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39223,NULL,0
Kiewit Infrastructure South Co.,NULL,35000000,50000000,"Washington, D.C.",NULL,Negotiating,Div 33 - Utilities,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39222,NULL,0
Kelly Floors LLC,NULL,500000,1000000,"Washington, D.C.",NULL,Finaled,Div 09 - Finishes,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39226,NULL,0
Griffin Masonry,NULL,750000,1500000,Carolinas,NULL,Expired,Div 04 - Masonry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,11301 Blair Rd,Charlotte,NC,28227,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39225,NULL,0
"Creative Terrazzo Systems, Inc",NULL,750000,1250000,NULL,05302023,Expired,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,CREATIVETE_65-0097229\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39081,NULL,0
JW Oliver Construction Inc,NULL,1000000,2000000,NULL,06052023,Expired,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,JWOLIVERCO_81-4949494\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39079,NULL,0
"SMYRNA READY MIX CONCRETE, LLC",NULL,0,0,All Other Locations,NULL,Expired,Div 03 - Concrete,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,1000 Hollingshead Circle,Murfreesboro,TN,37129,04/30/2024,0,,SMYRNAREAD_62-1850770\2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39227,NULL,0
Retro Environmental LLC,NULL,1000000,2000000,"Washington, D.C.",NULL,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,6261 Beach Dr. SW,Ocean Isle Beach,NC,28409,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39236,NULL,0
"Builders of Metro Atlanta, LLC dba BMA Doors",NULL,500000,500000,Georgia,NULL,Finaled,Div 08 - Doors and Windows,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,2897 North Druid Hills Rd Ste 126,Atlanta,GA,30329,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39457,NULL,0
Southern Staircase,NULL,0,0,Georgia,NULL,Approval Required,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,332 International Cir Suite B,Summerville,SC,29483,NULL,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39234,NULL,0
Titan Flooring Corporation,NULL,500000,500000,Florida,NULL,Finaled,Div 09 - Finishes,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,1940 Standing Rock Circle,Oakland,FL,34787,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39240,NULL,0
Secured Network Solutions,NULL,0,0,NULL,11092023,Negotiating,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"11038 Lakeridge Pkwy, #2",Ashland,VA,23005,NULL,0,,SECUREDNET_20-5785725\2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39247,NULL,0
Whitewater West Industries Ltd,NULL,5000000,5000000,All Other Locations,NULL,Finaled,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"6651 Fraserwood Place, Unit 180",Richmond,BC,V6W1J3,05/31/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39442,NULL,0
"Bartenfelder Landscape Services, Inc.",NULL,500000,500000,"Washington, D.C.",NULL,Finaled,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,P.O. Box 706,Forest Hill,MD,21050,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39451,NULL,0
"McCarthy, Inc.",NULL,750000,750000,NULL,NULL,Negotiating,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39099,NULL,0
"JD Backhoe, Inc.",NULL,2000000,3000000,Florida,NULL,Finaled,Div 31 - Earthwork,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,4300 SW 59th Avenue,Davie,FL,33314,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39431,NULL,0
Citadel Masonry LLC,NULL,1000000,1500000,Carolinas,NULL,Finaled,Div 04 - Masonry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,5504 Business Dr,Wilmington,NC,28405,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39241,NULL,0
"Ridgeview Glass, Inc.",NULL,1750000,3000000,NULL,04112023,Expired,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,RIDGEVIEWG_52-1246685\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39161,NULL,0
"Southern Acoustics, Inc.",NULL,500000,500000,Florida,NULL,Finaled,Div 09 - Finishes,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,303 S. Larel Ave,Sanford,FL,32771,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39248,NULL,0
Architectural Sign Identity,NULL,0,0,NULL,NULL,Negotiating,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,NULL,0,,ARCHITECTU_14-1919114\2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39192,NULL,0
PROCON ROOFING CORPORATION,NULL,500000,1000000,Carolinas,NULL,Expired,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39199,NULL,0
Fire Sprinkler Of Atlanta,NULL,550000,550000,Georgia,NULL,Finaled,Div 21 - Fire Suppression,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"3308 Peachtree Industrial, Suite 100",Duluth,GA,30096,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39332,NULL,0
