Identifier,Tag: Name,Service,Type,Region,Tag: Application Environment,Tag: Class,Tag: Creator,Tag: Landscape,Tag: Lanscape,Tag: Owner,Tag: Patch Group,Tag: Requestor,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: backupAction,Tags
i-0b5d1bf05c7e19254,AWSADCONNECT,EC2,Instance,us-east-1,Office 365 Authentication ,Application,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify2,ggamboa@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0e29957f14ce90089,AWSADAGENT1,EC2,Instance,us-east-1,Office 365 Authentication,Application,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify2,ggamboa@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-00a4ca40e5d934406,AWSADAGENT2,EC2,Instance,us-east-1,Office 365 Authentication,Application,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify2,ggamboa@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-078a74278a7e53dd2,AWSINTPROD01,EC2,Instance,us-east-1,Integrations,Integrations,(not tagged),Production,(not tagged),Architecture,Servers.NoNotify1,jmussell@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-0ac7326fb7ed7a492,AWSAAA02,EC2,Instance,us-east-1,RADIUS and TACACS+,Network Services,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify1,gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0641e8ce28f136ccd,AWSPOWERBIGW01,EC2,Instance,us-east-1,PowerBI,Application,(not tagged),Production,(not tagged),Architecture,Servers.NoNotify1,jmcpherson@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0c82438560c2743e2,AWSEXCH01,EC2,Instance,us-east-1,Exchange Hybrid Environment,Application,(not tagged),Production,(not tagged),Infrastructure,(not tagged),cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,7
i-09ef2431bd424c048,AWSEXCH02,EC2,Instance,us-east-1,Exchange Hybrid Environment,Application,(not tagged),Production,(not tagged),Infrastructure,(not tagged),cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,7
i-011d09cbd91095930,AWSFILE01,EC2,Instance,us-east-1,FileServices,Application,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify2,gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-00426c7ff97ec0c5c,HQAWSDC07,EC2,Instance,us-east-1,Domain Controller,Network Services,(not tagged),Production,(not tagged),Infrastructure,Manual.Only.DoNotPatch,bweir@bbcgrp.com,(not tagged),(not tagged),(not tagged),(not tagged),7
i-09f8fdcf4105a9592,AWSMGMT16,EC2,Instance,us-east-1,Management,Monitoring and Alerting,(not tagged),NonProduction,(not tagged),Infrastructure,Servers.NoNotify2,gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0741f6c5ee2582b2d,DCHSWPOS,EC2,Instance,us-east-1,HSW Point of Sale (POS),Application,(not tagged),Production,(not tagged),Operations,Servers.NoNotify2,gkastanis@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-08a9113e6de4cc614,AWSFARO,EC2,Instance,us-east-1,FARO,Application,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify1,gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0f8a969093e1e2671,AWSAVECTO-EVENT,EC2,Instance,us-east-1,Avecto,Monitoring and Alerting,(not tagged),Production,(not tagged),Operations,SSM-Test,gkastanis@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-02b93739dc6351ebe,AWSSQLPRD01,EC2,Instance,us-east-1,SQL Server,Application,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,7
i-0f3d82ef904403062,AWSEVOLVE02,EC2,Instance,us-east-1,Playbook - Evolve,Application,(not tagged),Production,(not tagged),Architecture,Servers.NoNotify2,jmcpherson@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-0ea17193808ac0d23,AWSREMEDY01,EC2,Instance,us-east-1,BMC-Remedy-Helix,Application,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify2,jmcadory@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-087f87d4c139971bf,AWSINTPROD02,EC2,Instance,us-east-1,Integrations,Integrations,(not tagged),Production,(not tagged),Architecture,Servers.NoNotify1,jmussell@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-04c5c7dd2ac0902f0,DCVMWEBAPPS01,EC2,Instance,us-east-1,PreQual,Application,(not tagged),Production,(not tagged),Architecture,Servers.Notify.Owners.First,jmussell@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-05aaae45ea1dc0bc7,AWSWEBAPPS01,EC2,Instance,us-east-1,Domino,Application,(not tagged),Production,(not tagged),Architecture,Servers.Notify.Owners.First,jmussell@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-0542597b708e3e2f0,DCDELTEK8302-WS,EC2,Instance,us-east-1,Deltek,Application,(not tagged),Production,(not tagged),Architecture,Manual.Only.DoNotPatch,jmussell@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),NONE,8
i-0641e4f3c2a5c9c5e,AWSSQL2008,EC2,Instance,us-east-1,SQL Server,Application,(not tagged),Production,(not tagged),Infrastructure,(not tagged),cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),NONE,7
i-0d0a8ecfbd7c48a50,DCDELTEK8301,EC2,Instance,us-east-1,Deltek,Application,(not tagged),Production,(not tagged),Architecture,(not tagged),jmussell@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),NONE,7
i-0e5a24a2c2b81a398,AWSSQLDWPRD01,EC2,Instance,us-east-1,Data Warehouse,Application,(not tagged),Production,(not tagged),Architecture,Manual.Only.DoNotPatch,jmcpherson@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,8
i-024349cdbd0098b88,AWSEASTDC1,EC2,Instance,us-east-1,Domain Controller,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,7
i-019cabb3e60fba7ee,AWSROOTDC2,EC2,Instance,us-east-1,Domain Controller,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),(not tagged),6
i-069b39e4991a5906c,AWSDUOMFA01,EC2,Instance,us-east-1,MfA,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,7
i-02950b82b9a7389df,AWSROOTDC1,EC2,Instance,us-east-1,Domain Controller,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,7
i-0df5b15de2408743e,AWSEASTDC2,EC2,Instance,us-east-1,Domain Controller,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),(not tagged),6
i-03a344f014262db44,AWSZABBIX01,EC2,Instance,us-east-1,Zabbix,Monitoring and Alerting,(not tagged),Production,(not tagged),Infrastructure,(not tagged),cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,7
i-0073931db31ae468b,AWSTPGSS01,EC2,Instance,us-east-1,TPG-Subversion-TRAC,Application,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify1,cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0a3ab8264418fef73,AWSDIRECTIFY,EC2,Instance,us-east-1,GAL Editor,Network Services,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify1,gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0e7c88ebfc2ee9670,AWSADAUDITPLUS,EC2,Instance,us-east-1,ADAuditPlus,Application,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,7
i-096d20626d5f8333c,AWSCA-Sub2,EC2,Instance,us-east-1,MS AD Certificate Authority,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,7
i-0500d51519bdf12b3,AWSCA-Sub1,EC2,Instance,us-east-1,MS AD Certificate Authority,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,7
i-052feb33b874b5e06,AWSCA-root,EC2,Instance,us-east-1,MS AD Certificate Authority,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,7
i-03bda268479bda1c6,DALLANSWEEP,EC2,Instance,us-east-1,LAN Sweeper,Monitoring and Alerting,(not tagged),Production,(not tagged),Infrastructure,Server.NoNotify2,cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-0b2ca9bb7d3d4dc49,BBIIATLTS02,EC2,Instance,us-east-1,RDS License Server,Application,(not tagged),Production,(not tagged),Infrastructure,Server.NoNotify2,cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,8
i-0f14dda7a30a37572,BBIIATLTS03,EC2,Instance,us-east-1,COINS TI Terminal Server,Application,(not tagged),Production,(not tagged),Infrastructure,Server.NoNotify2,cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,8
i-0178d2576862404bc,AWSAUTOMATOR,EC2,Instance,us-east-1,Keeper,Application,(not tagged),Production,(not tagged),Architecture,(not tagged),jmcpherson@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,7
i-0ecb68671d1576974,AWSDSMFA01,EC2,Instance,us-east-1,MfA,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,7
i-0ad6072e374cc40da,AWSINTPROD03,EC2,Instance,us-east-1,Integrations,Network Services,(not tagged),Production,(not tagged),Architecture,(not tagged),jmussell@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,7
i-00512d5e1a296a3ef,AWSMKDOCS,EC2,Instance,us-east-1,MKDocs,Application,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,7
i-014d6d0c11c739b47,AWSSFTP01,EC2,Instance,us-east-1,SFTP,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),(not tagged),6
i-04891c8678f0f610f,AWSEAST-vMX,EC2,Instance,us-east-1,VPN,Network Services,(not tagged),Production,(not tagged),Infrastructure,Manual.Only.DoNotPatch,gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,8
i-0b0947e385b6e2728,AWSZABBIX02,EC2,Instance,us-east-1,Zabbix,Monitoring and Alerting,(not tagged),(not tagged),(not tagged),Infrastructure,(not tagged),cwilliams@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,6
bbus-west-alb-access-logs,(not tagged),S3,Bucket,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
config-bucket-268928949034-uswest2,(not tagged),S3,Bucket,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
sms-b-us-west-2-ooqdukcbigpic2yxnacuaydrx2hp5liw,sms-b-us-west-2-ooqdukcbigpic2yxnacuaydrx2hp5liw,S3,Bucket,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),1
accesslogs-s3-all,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
bb-sql-backups,bb-sql-backups,S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),1
bbus-cloudcheckr-cur,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
bbus-elb-access-logs,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
bbus-route53-backups,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
bbus-vm-import,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
cf-templates-110tfh1x0s7t4-us-east-1,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
civils.archive.data,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
cloudtrail-all-regions2,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
config-bucket-268928949034,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
constructware.archive,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
dce1file.archive,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
dcwebapps.bbc.local,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
deltek-alb-logs,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
deltek-internal-logs,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
guarddutythreatfeed-backupbucket-1cq46w6i8yisr,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),Production,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),1
pcbs.archive,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
playbook-alb-011082020,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
sechub-notification,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
vpclogs-for-default-vpc,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
zabbix-alb,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
aws-controltower-NotificationForwarder,(not tagged),Lambda,Function,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),ForwardSnsNotification,arn:aws:cloudformation:us-west-2:268928949034:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-a2b3991e-1a1d-48be-a395-b67c747903ff/81edbc70-b483-11ed-8fbd-022886c9d189,StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-a2b3991e-1a1d-48be-a395-b67c747903ff,(not tagged),3
SendIAMAccountNotifications,(not tagged),Lambda,Function,us-east-1,(not tagged),Alerting,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),1
aws-controltower-NotificationForwarder,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),ForwardSnsNotification,arn:aws:cloudformation:us-east-1:268928949034:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-25a54f37-59f8-40a4-a0e2-dcc8da68a01f/dbb99ae0-8e64-11eb-90a3-0aedc5aecc23,StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-25a54f37-59f8-40a4-a0e2-dcc8da68a01f,(not tagged),3
SendSecurityHubSummaryEmail,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),SendSecurityHubSummaryEmailLambda,arn:aws:cloudformation:us-east-1:268928949034:stack/SecHub-Notifications/2144b7a0-bc06-11ec-b091-12b56e17f86b,SecHub-Notifications,(not tagged),3
SecHub-Notifications-CustomInsightsFunction-EuYWXB8QaI51,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),CustomInsightsFunction,arn:aws:cloudformation:us-east-1:268928949034:stack/SecHub-Notifications/2144b7a0-bc06-11ec-b091-12b56e17f86b,SecHub-Notifications,(not tagged),3
Update-ZabbixMailSettings,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
1385eefc-3577-4c6e-b2d2-fa5e32e733dd,(not tagged),KMS,Key,us-east-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
6dfc1d22-d83e-44e2-a0d3-24e1d5c9365d,(not tagged),KMS,Key,us-east-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
a45001db-7806-48ec-bc11-bde639f5e0ff,(not tagged),KMS,Key,us-east-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
b9cabade-92bb-4d1b-a4ce-d512e57126a6,(not tagged),KMS,Key,us-east-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
app/BBUS-WEST-ALB/a742e1a376236819,(not tagged),ElasticLoadBalancingV2,LoadBalancer,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
2568db80-2394-4f6b-bafb-c0105902b678,(not tagged),KMS,Key,us-west-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
7014b6fd-4024-4c64-a2a9-91dbec9e4767,(not tagged),KMS,Key,us-west-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
app/BBUS-ELB/4f7300302d82b063,BBUS-ELB,ElasticLoadBalancingV2,LoadBalancer,us-east-1,(not tagged),(not tagged),(not tagged),Production,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),2
app/playbook-alb/5d985518400cf97f,playbook-elb,ElasticLoadBalancingV2,LoadBalancer,us-east-1,(not tagged),(not tagged),(not tagged),Production,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),2
app/Zabbix-ALB/6129bfd3729b21be,(not tagged),ElasticLoadBalancingV2,LoadBalancer,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
app/Deltek-Internal/ca59248530b8d3a8,(not tagged),ElasticLoadBalancingV2,LoadBalancer,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
32267919-85fe-4e5d-a817-47445036fe51,(not tagged),KMS,Key,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
3c193aa4-12d5-487d-bc0f-7baaf711802b,(not tagged),KMS,Key,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
464ec578-5364-45b2-be3e-cf0d0d80856f,(not tagged),KMS,Key,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
5fed8239-0521-49c2-9eb7-692457fda060,(not tagged),KMS,Key,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
c1f25b6b-6681-46ab-b1fb-362139d0640f,(not tagged),KMS,Key,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
c47be241-5192-4947-be39-c7c40d1cebb1,(not tagged),KMS,Key,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
edbf3aef-9a21-4af5-ac05-fb75bbac49c9,(not tagged),KMS,Key,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
f55245f2-6212-413e-ab3f-5a1632181752,(not tagged),KMS,Key,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
018c8266-ff6c-4e9c-969c-83246ba720e0,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
